project_id,公開先の種類,名称,正確なURL,公開状態,アクセスできるか,ページが伝えている価値,主要CTAの文言,CTAの遷移先,利用開始までの手順,確認できたリンク切れや導線の問題,計測ツール,計測の状態：コードのみ／設定済み／受信確認済み／未確認,確認状態,根拠,確認日時
poco-pilot-01,製品サイト,Growth Studio,https://youtube-growth-studio.forifor.chatgpt.site/,Sites稼働中。ただしアクセス設定はcustom,このアカウントでは可。一般公開は未確認,YouTube動画を公開・計測・比較し、次作を改善する,実データ／デモ／自分の動画で始める／接続設定,同ページ内の表示切替・タブ・接続設定,実データを選択→YouTube接続→計画作成→動画登録→計測,初期表示がデモ。実データは接続未設定で0本。一般公開URLとしての匿名アクセス未確認,ページ内で外部計測ツールは確認できず,未確認,公開URL・Sites状態は確認済み、実データ運用は未設定,公開ページAX、Sites get_site（access_mode=custom）、.openai/hosting.json,2026-09-14 23:52 JST
poco-pilot-01,製品利用画面（実データ）,Growth Studio／実データ,https://youtube-growth-studio.forifor.chatgpt.site/,画面表示可能,このアカウントでは可,自分のYouTube計測を始める,接続設定,接続設定タブ,Google Cloud API設定→環境変数→読み取り認可→動画登録,YouTube公開動画の統計・詳細分析がともに「未設定」。収集履歴なし、登録動画0本,YouTube Data API／Analytics API（画面説明）,未設定,実画面で確認済み,接続設定タブの「未設定」「収集履歴はまだありません」表示,2026-09-14 23:52 JST
poco-pilot-01,YouTubeチャンネル,こぐまのポコのおはなし,https://www.youtube.com/channel/UCpaMwN2CdCok70qTw-EdonA,公開,可,親子で指さし・色さがし・音あそびの日本語Shorts,プロフィールリンク「まずは24秒の色あそび」「ほかのあそびも見る」,v4 Shorts／再生リスト,URLを開いて視聴,登録者数は公開画面で取得できず。5本すべて0回視聴表示,YouTube Studio／Analytics（アプリAPI未接続）,未確認,実画面で確認済み,公開チャンネルAX、production/channel.json,2026-09-14 23:52 JST
poco-pilot-01,YouTube再生リスト,親子であそぶ こぐまポコの絵本,https://www.youtube.com/playlist?list=PLfr9v9axUGaM,公開、4本、0回視聴表示,可,色あそび・さがしもの・雨の日の音あそびをまとめる,すべて再生,v4 Shorts,URLを開いて視聴,最新の形クイズv5は未収録,YouTube表示のみ,未確認,実画面で確認済み,再生リストAX,2026-09-14 23:52 JST
poco-pilot-01,YouTube Shorts,あかいのはどっち？｜親子で色あそび・こぐまポコの絵本 #Shorts,https://www.youtube.com/shorts/n-raC3DGh4I,公開、0回視聴表示,可,赤いものを探す親子参加,視聴,—,URLを開いて視聴,Studioの視聴選択・維持率は未取得,YouTube Studio,未確認,公開画面で確認済み,チャンネル公開一覧、production/publications.json,2026-09-14 23:52 JST
poco-pilot-01,YouTube Shorts,きいろいスカーフはどこ？｜親子でさがしもの・こぐまポコの絵本 #Shorts,https://www.youtube.com/shorts/1vvhk6jtLzE,公開、0回視聴表示,可,黄色いスカーフを探す親子参加,視聴,—,URLを開いて視聴,Studioの視聴選択・維持率は未取得,YouTube Studio,未確認,公開画面で確認済み,チャンネル公開一覧、production/publications.json,2026-09-14 23:52 JST
poco-pilot-01,YouTube Shorts,あめはどんな音？｜親子で音あそび・こぐまポコの絵本 #Shorts,https://www.youtube.com/shorts/yMyAsOK6doY,公開、0回視聴表示,可,雨音をまねする親子参加,視聴,—,URLを開いて視聴,Studioの視聴選択・維持率は未取得,YouTube Studio,未確認,公開画面で確認済み,チャンネル公開一覧、production/publications.json,2026-09-14 23:52 JST
poco-pilot-01,YouTube Shorts,あか・きいろ・あお、どっち？｜親子でいろあそび3問・こぐまポコ #Shorts,https://www.youtube.com/shorts/DpgabSBgQgk,公開、0回視聴表示,可,3問の色クイズで親子を参加させる,視聴,—,URLを開いて視聴,再生リストには収録済み,YouTube Studio,未確認,公開画面で確認済み,チャンネル公開一覧、production/publications.json,2026-09-14 23:52 JST
poco-pilot-01,YouTube Shorts,まる・さんかく・しかく、どれかな？｜親子でかたちクイズ・こぐまポコ #Shorts,https://www.youtube.com/shorts/YoSuV1PQjTs,公開、0回視聴表示,可,色から形へ題材を広げた親子クイズ,視聴,—,—,再生リストには未収録,YouTube Studio,未確認,公開画面で確認済み,チャンネル公開一覧、shape-game-publication-2026-09-14T153037+0900.json,2026-09-14 23:52 JST
poco-pilot-01,noteプロフィール,forifori,https://note.com/forifor,プロフィール表示可。一般公開の匿名アクセスは未確認,ログインセッションで可,記事一覧とクリエイター情報,記事を読む,記事URL,URLを開く,フォロワー0、記事1件。記事の公開範囲は記事画面で要確認,note内蔵表示,未確認,プロフィール実画面で確認済み,noteプロフィールAX,2026-09-14 23:52 JST
